회사코드,회사명,상장여부,업데이트일
1483,유니드,상장,20251230
180,오리온홀딩스,상장,20251230
27156,오리온,상장,20251230
731,오뚜기,상장,20251230
6697,엘앤에프,상장,20251230
3657,엔씨소프트,상장,20251230
29869,에어부산,상장,20251230
32603,에스케이바이오팜,상장,20251230
1275,에스원,상장,20251230
585,에스엘,상장,20251230
13999,아주스틸,상장,20251230
2056,아시아나항공,상장,20251230
279,아모레퍼시픽홀딩스,상장,20251230
48037,씨케이솔루션,상장,20251230
40355,쏘카,상장,20251230
172,신영증권,상장,20251230
417,신세계,상장,20251230
1193,신성이엔지,상장,20251230
33637,솔루스첨단소재,상장,20251230
6827,셀트리온,상장,20251230
5865,세아홀딩스,상장,20251230
143,세아베스틸지주,상장,20251230
13649,선진,상장,20251230
1014,삼성중공업,상장,20251230
20794,삼성바이오로직스,상장,20251230
396,사조대림,상장,20251230
385,보령,상장,20251230
680,미래에셋증권,상장,20251230
920,무림페이퍼,상장,20251230
958,무림P&P,상장,20251230
13804,메리츠금융지주,상장,20251230
7184,롯데하이마트,상장,20251230
1117,롯데케미칼,상장,20251230
499,롯데지주,상장,20251230
28036,롯데웰푸드,상장,20251230
2015,롯데에너지머티리얼즈,상장,20251230
33626,두산퓨얼셀,상장,20251230
24156,두산밥캣,상장,20251230
45491,두산로보틱스,상장,20251230
15,두산,상장,20251230
1482,동원시스템즈,상장,20251230
1850,동원금속,상장,20251230
17090,동아에스티,상장,20251230
64,동아쏘시오홀딩스,상장,20251230
46086,동국제강,상장,20251230
215,도화엔지니어링,상장,20251230
1251,더존비즈온,상장,20251230
19208,더블유게임즈,상장,20251230
588,대한해운,상장,20251230
349,대한항공,상장,20251230
322,대원제약,상장,20251230
354,대신증권,상장,20251230
2359,다우기술,상장,20251230
25127,넷마블,상장,20251230
235,넥센타이어,상장,20251230
2411,기업은행,상장,20251230
27,기아,상장,20251230
3061,교보증권,상장,20251230
3525,강원랜드,상장,20251230
290,TYM,상장,20251230
271,TCC스틸,상장,20251230
3653,SNT홀딩스,상장,20251230
28513,SK케미칼,상장,20251230
47515,SK이터닉스,상장,20251230
9677,SK이노베이션,상장,20251230
40234,SK스퀘어,상장,20251230
30244,SK바이오사이언스,상장,20251230
612,SK디스커버리,상장,20251230
1867,SK가스,상장,20251230
1179,SKC,상장,20251230
3473,SK,상장,20251230
509,SGC에너지,상장,20251230
3019,NICE평가정보,상장,20251230
594,NH투자증권,상장,20251230
10867,LX하우시스,상장,20251230
112,LX인터내셔널,상장,20251230
10832,LX세미콘,상장,20251230
6657,LG전자,상장,20251230
3264,LG유플러스,상장,20251230
5886,KTis,상장,20251230
139,KG케미칼,상장,20251230
10556,KB금융,상장,20251230
9676,JW홀딩스,상장,20251230
106,JW중외제약,상장,20251230
23408,JW생명과학,상장,20251230
17533,JB금융지주,상장,20251230
1120,HMM,상장,20251230
20432,HL만도,상장,20251230
9723,HJ중공업,상장,20251230
32918,HD현대중공업,상장,20251230
